LCS_Process_ID,Life_cycle_stage,Process_name,Region,Dataset_name,Unit_of_measure,Data_source,UUID,TeR,GR,TiR,P,PEF_DQR
Dyeing - Apparel,LCS2,"Bleaching, conventional",GLO,"Bleaching, conventional {GLO} | Pre-treatment | production mix, at plant | textile service | LCI result",kg,EF Database 3.1,d60b0c47-7e87-5f3b-b1a1-33f2ddc29873,"  1,78 ","  1,91 ","  1,00 ","  2,00 ","  1,67 "
BOM - Apparel,LCS1,"Leather, caprine (sheep), chrome tanned (wet-blue)",GLO,"Leather, caprine (goat), chrome tanned (wet- blue) {GLO} | technology mix | production mix, at tannery | m2 | LCI result",m2,EF Database 3.1,dc119ffd-a06f-5e11-a054-27410b565161,"  1,42 ","  1,42 ","  1,56 ","  2,00 ","  1,60 "
Transport raw materials,LCS1,"Transport, truck (32t, euro4)",Europe,"Articulated lorry transport, Euro 4, Total weight >32 t {EU+EFTA+UK} | diesel driven, Euro 4, cargo | consumption mix, to consumer | more than 32t gross weight / 24,7t payload capacity | LCI result",kgkm,EF Database 3.1,e1ded83e-a02f-42cd-92f9-81cce21a3a98,"  1,00 ","  1,00 ","  1,00 ","  2,00 ","  1,25 "
BOM - Apparel,LCS1,"Nylon 6, fossil fuel-based",Europe,"Nylon 6, fossil fuel-based {GLO} | hydrolytic polymerisation of caprolactam | production mix, at plant | petrochemical based | LCI result",kg,EF Database 3.1,e9977c03-339a-5069-aa93-30897ebcacaf,"  2,05 ","  2,05 ","  1,00 ","  1,86 ","  1,74 "
End-of-life of 1 product,LCS5,End of life of electronics,Europe,"End of life of flat chip resistor Recycling of copper and  precious metals (Ag, Au, Pd, Pt) from electronics production mix, at plant recycling processes: 95- 98% efficiency, scrap incineration: 11.0 MJ/kg NCV",kg,EF Database 3.1,f1de74ac-ea24-4493-a981-5e771dcf1476,"  3,00 ","  2,00 ","  2,00 ","  2,00 ","  2,25 "
Transport raw materials,LCS1,"Transportation, train",Europe,"Freight train, average {EU+EFTA+UK} | mix of electricity driven and diesel driven, cargo | consumption mix, to consumer | average train, gross tonne weight 1000t / 726t payload capacity | LCI result",kgkm,EF Database 3.1,f28bff05-7e79-46b8-8ac0-7c4d80f0d3fa,"  3,00 ","  3,00 ","  2,00 ","  2,00 ","  2,50 "
End-of-life for intermediate product packaging,LCS2,"Landfill, LDPE",Europe,"Landfill of plastic waste {EU+EFTA+UK} | landfill including leachate treatment and with transport without collection and pre-treatment | production mix (region specific sites), at landfill site | The carbon and water content are respectively of 62%C and and 0% Water (in weight %) | LCI result",kg,EF Database 3.1,f2bea0f5-e4b7-4a2c-9f34-4eb32495cbc6,"  2,00 ","  2,00 ","  2,00 ","  2,00 ","  2,00 "
End-of-life for manufacturing losses,LCS2,"Lorry transport, RoW",Europe,"Articulated lorry transport, Total weight 28-32 t, mix Euro 0-5 {EU+EFTA+UK} | diesel driven, Euro 0 - 5 mix, cargo | consumption mix, to consumer | 28 - 32t gross weight / 22t payload capacity | LCI result",kgkm,EF Database 3.1,f40ffb46-4dce-4df0-b2e0-afd1032e8801,"  1,00 ","  3,00 ","  1,00 ","  2,00 ","  1,75 "


